run_id,case_id,configuration,model_call_count,input_tokens,output_tokens,total_tokens,token_usage_status,cost_status,n8n_execution_id
S10_EVAL-HIGH-01_CONFIG-BASELINE_R01,EVAL-HIGH-01,CONFIG-BASELINE,1,378,39,417,available,not_available,75
S10_EVAL-HIGH-01_CONFIG-OBID_R01,EVAL-HIGH-01,CONFIG-OBID,3,3313,107,3420,available,not_available,76
S10_EVAL-LOW-01_CONFIG-OBID_R01,EVAL-LOW-01,CONFIG-OBID,3,3297,116,3413,available,not_available,79
S10_EVAL-LOW-01_CONFIG-BASELINE_R01,EVAL-LOW-01,CONFIG-BASELINE,1,376,35,411,available,not_available,82
S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R01,EVAL-THRESHOLD-01,CONFIG-BASELINE,1,376,39,415,available,not_available,83
S10_EVAL-THRESHOLD-01_CONFIG-OBID_R01,EVAL-THRESHOLD-01,CONFIG-OBID,3,3299,213,3512,available,not_available,84
S10_EVAL-MALFORMED-01_CONFIG-OBID_R01,EVAL-MALFORMED-01,CONFIG-OBID,0,0,0,0,not_applicable,not_available,87
S10_EVAL-MALFORMED-01_CONFIG-BASELINE_R01,EVAL-MALFORMED-01,CONFIG-BASELINE,1,,,,not_available,not_available,88
S10_EVAL-MEMORY-01A_CONFIG-BASELINE_R01,EVAL-MEMORY-01A,CONFIG-BASELINE,1,378,39,417,available,not_available,89
S10_EVAL-MEMORY-01B_CONFIG-BASELINE_R01,EVAL-MEMORY-01B,CONFIG-BASELINE,1,378,54,432,available,not_available,90
S10_EVAL-MEMORY-01C_CONFIG-BASELINE_R01,EVAL-MEMORY-01C,CONFIG-BASELINE,1,376,35,411,available,not_available,91
S10_EVAL-MEMORY-01A_CONFIG-OBID_R01,EVAL-MEMORY-01A,CONFIG-OBID,3,3319,122,3441,available,not_available,92
S10_EVAL-MEMORY-01B_CONFIG-OBID_R01,EVAL-MEMORY-01B,CONFIG-OBID,2,2526,68,2594,available,not_available,95
S10_EVAL-MEMORY-01C_CONFIG-OBID_R01,EVAL-MEMORY-01C,CONFIG-OBID,2,2834,97,2931,available,not_available,96
